gate_name,file_function,input_fields,output_fields,scope,block_type,current_owner,still_needed,overlaps_with,recent_false_block_history
"startup_launch_allowed","src/mgc_v05l/app/operator_dashboard.py:_supervised_paper_operability_payload + startup_control_plane snapshot","startup_control_plane.overall_state; startup_control_plane.launch_allowed; convergence.dashboard_attached","supervised_paper_operability.launch_allowed; app_usable_for_supervised_paper","both","hard_block","startup control plane","yes","dashboard attachment; app usability contract","yes: stale startup/attach disagreement has held otherwise-usable paper sessions"
"dashboard_attached","desktop/src/main/shared/operationalReadiness.ts:deriveOperationalReadiness","source.mode; backend health; /health vs /api/dashboard attach state","overallState; dashboardAttached; appUsableForSupervisedPaper","both","hard_block","desktop runtime attachment","yes","startup_launch_allowed; snapshot fallback detection","yes: attached vs snapshot fallback semantics have been confusing"
"app_usable_for_supervised_paper","src/mgc_v05l/app/operator_dashboard.py:_supervised_paper_operability_payload","dashboard_attached; runtime_running; temp_paper_ok; entries_enabled; operator_halt; runtime_phase","supervised_paper_operability.app_usable_for_supervised_paper; state; primary_next_action","paper","hard_block","operator dashboard backend","yes","paper_runtime_ready; entries_enabled; temp paper mismatch","yes: paper usability was previously conflated with live authority and advisory faults"
"temp_paper_runtime_integrity","src/mgc_v05l/app/operator_dashboard.py:_temporary_paper_runtime_mismatch","paper.temporary_paper_runtime_integrity.mismatch_status; runtime artifacts","temporary_paper_runtime_integrity.*; supervised_paper_operability.state","paper","hard_block","paper runtime integrity","yes","startup restore validation; runtime readiness","yes: temp-paper mismatch can dominate top-level paper state"
"runtime_phase_ready","src/mgc_v05l/app/operator_dashboard.py:_supervised_paper_operability_payload","paper.readiness.runtime_phase; paper.running; readiness.runtime_running","paper_runtime_ready; supervised_paper_operability.state","paper","hard_block","paper runtime backend","yes","entries_enabled; operator_halt; launch_allowed","yes: RUNNING vs RECONCILING/HALTED has surfaced as a major paper block"
"entries_enabled_operator_halt","src/mgc_v05l/app/operator_dashboard.py:_supervised_paper_operability_payload","operator_state.operator_halt; readiness.entries_enabled","supervised_paper_operability.state=PAPER_RUNTIME_HALTED","paper","hard_block","operator controls","yes","runtime_phase_ready; lane governance","yes: operator halt/entries disabled often looked like generic readiness failure"
"runtime_blocking_faults","src/mgc_v05l/app/operator_surface.py:_build_runtime_readiness","paper.exceptions rows; fault_state; severity","runtime_readiness.values.blocking_faults_count; blocking_faults_active; advisory_faults_count","paper","hard_block","operator surface runtime readiness","yes","runtime_recovery_state; exception rows","yes: WATCH-only DECISION_WITHOUT_INTENT rows were incorrectly treated as blocking until fixed"
"runtime_recovery_state","src/mgc_v05l/app/operator_dashboard.py:_paper_runtime_recovery_payload / _runtime_recovery_state","runtime restart history; recovery events; next_action; restart_budget","paper.runtime_recovery.*; runtime_readiness.values.runtime_recovery_state","paper","advisory_to_hard_block","paper runtime recovery","yes","runtime_blocking_faults; runtime_phase_ready","yes: recovery metadata has looked like a hard block even when runtime was healthy"
"market_data_readiness","src/mgc_v05l/app/operator_surface.py:_build_runtime_readiness + desktop/src/main/shared/operatorTriage.ts:buildOperatorTriageContract","global.market_data_status; global.stale; runtime_readiness.market_data_readiness","hard gate market-data; runtime_readiness.market_data_readiness","both","hard_block","market data / operator surface","yes","runtime stale; source attachment; quote freshness","yes: stale market_data after recovery can continue to suppress paper"
"runtime_stale_softening","src/mgc_v05l/app/operator_dashboard.py:_paper_readiness_payload via _runtime_stale_should_be_softened","paper.status.stale; runtime_running; runtime_health_status; runtime_updated_at; decision_bar cadence","lane_status_rows.runtime_stale_suppressed; stale_runtime_blocked_count","paper","advisory_with_block_effect","lane fireability logic","yes","market_data_readiness; waiting_for_completed_bar","yes: stale_runtime produced many false zero-readiness states before cadence softening"
