scenario_id,scenario_label,instrument_expression,scenario_note,trade_count,total_gross_pnl_cash,total_fees_cash,total_slippage_cash,total_net_pnl_cash,average_net_trade_cash,median_net_trade_cash,win_rate,profit_factor,max_drawdown,largest_win,largest_loss,max_consecutive_losers,asia_contribution_cash,us_contribution_cash,cost_consumed_pct_of_gross_edge,breakeven_cost_per_trade,drawdown_to_profit_ratio,net_pnl_per_unit_of_drawdown,edge_economically_meaningful,classification
MGC_GROSS_ZERO_COST,MGC gross / zero cost,MGC,,4965,38382.315,0.0,0.0,38382.315,7.7306,9.0,59.1742,1.5422,1768.9533,607.0,-579.7333,8,16334.8325,22047.4825,0.0,7.7306,0.0461,21.6978,YES,GC_EXPRESSION_PROMISING
MGC_CURRENT_V2_COST_MODEL,MGC current v2 cost model,MGC,,4965,38382.315,7447.5,24825.0,6109.815,1.2306,2.5,52.3464,1.0718,5856.1858,600.5,-586.2333,12,3679.3325,2430.4825,84.0817,7.7306,0.9585,1.0433,YES,GC_EXPRESSION_PROMISING
MGC_FEE_ONLY,MGC fee-only,MGC,,4965,38382.315,7447.5,0.0,30934.815,6.2306,7.5,57.8046,1.4188,1816.9533,605.5,-581.2333,12,13414.3325,17520.4825,19.4035,7.7306,0.0587,17.0257,YES,GC_EXPRESSION_PROMISING
MGC_SLIPPAGE_ONLY,MGC slippage-only,MGC,,4965,38382.315,0.0,24825.0,13557.315,2.7306,4.0,53.1319,1.1662,2493.9758,602.0,-584.7333,12,6599.8325,6957.4825,64.6782,7.7306,0.184,5.436,YES,GC_EXPRESSION_PROMISING
MGC_HALF_SLIPPAGE,MGC half slippage,MGC,,4965,38382.315,7447.5,12412.5,18522.315,3.7306,5.0,54.9446,1.2336,1952.665,603.0,-583.7333,12,8546.8325,9975.4825,51.7426,7.7306,0.1054,9.4857,YES,GC_EXPRESSION_PROMISING
MGC_DOUBLE_SLIPPAGE,MGC double slippage,MGC,,4965,38382.315,7447.5,49650.0,-18715.185,-3.7694,-2.5,46.7472,0.8082,23631.575,595.5,-591.2333,16,-6055.6675,-12659.5175,148.7599,7.7306,,-0.792,NO,GC_EXPRESSION_PROMISING
MGC_CONSERVATIVE_LIVE_PROXY,MGC conservative live proxy,MGC,No distinct live-specific ATP v2 MGC cost model is materialized on disk; this proxy reuses doubled current slippage with the current fee model.,4965,38382.315,7447.5,49650.0,-18715.185,-3.7694,-2.5,46.7472,0.8082,23631.575,595.5,-591.2333,16,-6055.6675,-12659.5175,148.7599,7.7306,,-0.792,NO,GC_EXPRESSION_PROMISING
GC_GROSS_ZERO_COST,GC gross / zero cost,GC,,4512,332561.4167,0.0,0.0,332561.4167,73.706,90.0,59.5301,1.5047,23941.1667,3944.0667,-5780.9583,8,188217.05,144344.3667,0.0,73.706,0.072,13.8908,YES,GC_EXPRESSION_PROMISING
GC_CURRENT_FRAMEWORK_REPLAY_COST_MODEL,GC current framework replay cost model,GC,This uses the ATP replay engine's current trade-record cost stack as generated for GC under the same v2 framework semantics.,4512,332561.4167,6768.0,225600.0,100193.4167,22.206,38.5,53.7456,1.132,26404.2583,3892.5667,-5832.4583,9,87122.55,13070.8667,69.8722,73.706,0.2635,3.7946,YES,GC_EXPRESSION_PROMISING
GC_CURRENT_REPO_CONTRACT_COST_PROXY,GC current repo contract-cost proxy,GC,Repo-grounded proxy using GC commission plus one tick per side slippage.,4512,332561.4167,20304.0,90240.0,222017.4167,49.206,65.5,57.07,1.3151,24186.1667,3919.5667,-5805.4583,8,140123.55,81893.8667,33.2402,73.706,0.1089,9.1795,YES,GC_EXPRESSION_PROMISING
GC_FEE_ONLY,GC fee-only,GC,,4512,332561.4167,20304.0,0.0,312257.4167,69.206,85.5,59.5301,1.4681,23986.1667,3939.5667,-5785.4583,8,179383.55,132873.8667,6.1053,73.706,0.0768,13.0182,YES,GC_EXPRESSION_PROMISING
GC_SLIPPAGE_ONLY,GC slippage-only,GC,,4512,332561.4167,0.0,90240.0,242321.4167,53.706,70.0,57.5576,1.3482,24141.1667,3924.0667,-5800.9583,8,148957.05,93364.3667,27.1348,73.706,0.0996,10.0377,YES,GC_EXPRESSION_PROMISING
GC_HALF_SLIPPAGE,GC half slippage,GC,,4512,332561.4167,20304.0,45120.0,267137.4167,59.206,75.5,58.289,1.3896,24086.1667,3929.5667,-5795.4583,8,159753.55,107383.8667,19.6728,73.706,0.0902,11.0909,YES,GC_EXPRESSION_PROMISING
GC_DOUBLE_SLIPPAGE,GC double slippage,GC,,4512,332561.4167,20304.0,180480.0,131777.4167,29.206,45.5,54.8316,1.177,24386.1667,3899.5667,-5825.4583,9,100863.55,30913.8667,60.375,73.706,0.1851,5.4038,YES,GC_EXPRESSION_PROMISING
GC_CONSERVATIVE_LIVE_PROXY,GC conservative live proxy,GC,No separate live-specific GC ATP model is materialized on disk; this conservative proxy reuses doubled one-tick-per-side repo slippage.,4512,332561.4167,20304.0,180480.0,131777.4167,29.206,45.5,54.8316,1.177,24386.1667,3899.5667,-5825.4583,9,100863.55,30913.8667,60.375,73.706,0.1851,5.4038,YES,GC_EXPRESSION_PROMISING
NAIVE_10X_MGC_SCALING_REFERENCE_ONLY,Naive 10x MGC scaling proxy,NAIVE_10X_MGC_PROXY,Reference only. This scales the current MGC replay baseline by 10 and is not a real GC replay result.,4965,383823.15,74475.0,248250.0,61098.15,12.306,25.0,52.3464,1.0718,58561.858,6005.0,-5862.333,12,36793.325,24304.825,84.0817,7.7306,0.9585,1.0433,YES,GC_EXPRESSION_PROMISING
