label,exact_meaning,blocks_paper,blocks_live,advisory_only,displayed_in,misleading_name,notes
"HEALTHY","Service or subsystem is connected and within expected health bounds","sometimes","sometimes","no","operator surface; Electron; monitor summaries","no","Used for monitor, backend, and soak health with slightly different semantics"
"READY","Boring operational state with prerequisites aligned","yes when absent","yes when absent","no","startup control plane; operational readiness; strategy status","sometimes","Can mean startup-ready, paper-runtime-ready, or strategy-status-ready"
"BLOCKED","Hard stop; action must not proceed","yes","yes","no","operational readiness; bridge preflight; lane statuses","no","Overloaded across startup, paper, live, and bridge outcomes"
"WATCH","Advisory review item; notable but not inherently blocking","no","no","yes","exceptions; review queues; strategy governance","yes","Recently caused false runtime blocks when treated like blocking faults"
"REVIEW","Operator attention requested","no","sometimes","mostly","alerts; review queues; outage posture","yes","More of a workflow state than a gate"
"DEGRADED","State is usable but not ideal","sometimes","sometimes","mixed","backend/source labels; runtime posture; soak health","yes","Sometimes advisory, sometimes used in gating"
"KILL_CANDIDATE","Poor-performing strategy lane marked for scrutiny","governance can block submit","usually no","mixed","strategy governance; roster","yes","Name sounds terminal, but visibility remains important and trading may continue in some contexts"
"PAUSED","Strategy or lane intentionally halted","yes","yes","no","governance rows; roster","no","Clear hard stop"
"DISABLED","Strategy or feature is administratively off","yes","yes","no","strategy state; governance; features","no","Clear hard stop"
"STALE","Payload or data freshness is beyond tolerance","yes when effective","yes when effective","mixed","runtime freshness; broker freshness; snapshot warnings","yes","Must be separated from WAITING_FOR_NEXT_DECISION_BAR"
"UNCLASSIFIED","Fine-grained phase labeler could not classify the current sub-session","no by itself","no by itself","yes","phase label; session diagnostics","yes","Can coexist with valid broad session eligibility"
"WAITING_FOR_NEXT_DECISION_BAR","Lane is loaded, session-eligible, and waiting for next completed decision bar","no","n/a","yes","lane tradability; readiness cards","no","Normal for 3m lanes between completed bars"
"NO_SETUP","Recently evaluated and no qualifying setup is present","no","n/a","yes","strategy diagnostics; no-setup metrics","sometimes","Needs separation from unavailable/blocked"
"ACTIONABLE","Trade intent exists on current decision bar","no by itself","no by itself","no","lane tradability; intent summaries","sometimes","Should be split into ENTRY vs EXIT in operator explanations"
"ACTIONABLE_NOW","BUY/SELL/EXIT signal exists and lane is submit-ready on this bar","yes when absent only for immediate submit","yes when absent only for immediate submit","no","Electron readiness cards; lane tradability","yes","Strict and momentary; not the same as broadly open-to-trade"
"DECISION_WITHOUT_INTENT","A decision cycle ran but no standardized intent was recorded","no if WATCH-only","can inform live review","yes unless BLOCKING severity","exceptions; fault rows; runtime review","yes","Historically confused with active runtime failure"
"BLOCKED_NOT_SENT_TO_BROKER","Runtime generated a trade event that failed bridge/routing before broker submit","yes for that event","yes for that event","no","runtime route audits; recent fill diagnostics","no","Important distinction from local fills or broker rejects"
"ELIGIBLE_TO_TRADE","Lane is loaded, flat, session-eligible, route-ready, and broadly tradable","no","n/a","yes","paper readiness summary","yes","Name overlaps with operator expectation of 'available to trade' while still stricter than session eligible"
"SESSION_ELIGIBLE_NO_SETUP","Lane is in allowed session and evaluated but currently has no setup","no","n/a","yes","lane tradability","no","Useful operator state"
"LOADED_NOT_ELIGIBLE","Lane is loaded but some condition prevents immediate broad eligibility","yes or advisory depending reason","n/a","mixed","lane tradability","yes","Needs finer breakup by reason"
"FAULTED","Strategy/runtime fault is active","yes","yes","no","lane statuses; runtime posture","no","True hard stop"
"RECONCILING","State mismatch or recovery is still unresolved","yes","yes","no","lane statuses; paper runtime state","no","Often recoverable but should fail closed"
"INFORMATIONAL_ONLY","Condition is visible but non-blocking","no","no","yes","lane fireability","no","Good candidate to keep as advisory-only"
"LOADED_CONFIG_ONLY","Lane is configured but not present in active runtime","yes for runtime submit","n/a","mixed","lane tradability","no","Important inventory/runtime distinction"
"PAPER_RUNTIME_BLOCKED","Paper runtime is attached but not operational","yes","n/a","no","supervised paper operability; Electron readiness","no","Should remain paper-only wording"
"LIVE_TRADE_AUTHORITY_BLOCKED","Live-specific authority is unavailable","no for paper","yes","no","Electron triage","no","Previously conflated with paper block"
"PAPER_TRADE_AUTHORITY_BLOCKED","Paper-specific authority stack is unavailable","yes","n/a","no","Electron triage","no","New clearer top-level paper concept"
