bucket,file_or_function,why,risk_of_removal,tests_needed,migration_path
"KEEP","src/mgc_v05l/execution/ibkr_paper_strategy_bridge.py:_build_submit_checks","Core broker-path safety gates for paper submit","high","bridge preflight unit tests; paper monitor contract tests","retain as final submit gate"
"KEEP","src/mgc_v05l/app/operator_dashboard.py:_paper_readiness_payload","Authoritative lane fireability and session semantics","high","lane fireability regression tests; session eligibility tests","treat as source of truth for paper lane readiness"
"KEEP","desktop/src/main/shared/operatorTriage.ts:buildOperatorTriageContract","Useful top-level paper vs live authority separation for Electron","medium","authority-split tests","keep but limit to top-level authority synthesis"
"MERGE_RENAME","eligible_to_trade_count / Ready This Bar / Tradable Now cards","Multiple names for different readiness strictness levels","low","renderer mapping tests; payload snapshot tests","rename broad metric and keep actionable-now distinct"
"MERGE_RENAME","runtime_recovery_state + fault_state + blocking_faults_active summaries","Operators see these as one block source even when they are different","medium","operator_surface tests; Electron triage text tests","present blocking faults separately from recovery/advisory faults"
"MERGE_RENAME","fine-grained phase label UNCLASSIFIED vs broad session eligibility","Same screen mixes informational phase gaps with allowed session logic","low","session-label-gap tests","show detected_phase_label and broad_session side by side"
"MERGE_RENAME","browser dashboard vs Electron readiness card semantics","Two UI surfaces have historically drifted in labels and counts","medium","shared payload contract tests","bind both to the same operator-surface field taxonomy"
"DEPRECATE_REMOVE","src/mgc_v05l/execution/paper_broker.py as fallback for submit-capable supported lanes","Caused silent local paper fills instead of broker-path routing","medium","route-miss regression tests; runtime broker wrapper tests","limit PaperBroker to replay, validation, and explicitly internal-only lanes"
"DEPRECATE_REMOVE","legacy local-paper destination ambiguity in submit-capable route adapters","Confuses broker-path truth vs internal simulation truth","medium","routing-mode snapshot tests","force explicit INTERNAL_ONLY_DIAGNOSTIC or IBKR broker-path"
"DEPRECATE_REMOVE","stale snapshot fallback treated like attached runtime truth","Has caused false paper blockage and stale operator stories","medium","desktop attachment/fallback tests","show fallback source mode prominently and never mark launch-ready from stale fallback alone"
"DEPRECATE_REMOVE","WATCH exception rows as contributors to blocking runtime faults","Already fixed once; must stay removed from blocking path","low","operator_surface tests","retain WATCH as advisory-only severity"
"KEEP","live authority gates in desktop/src/main/shared/operatorTriage.ts and operationalReadiness.ts","Critical live-money protection boundary","high","live authority tests; operator auth tests","retain as separate live-only layer"
