file_module,function_class,dependency_type,subsystem,data_type,frequency_latency,runtime_role,natural_replacement,current_status,note
scripts/run_schwab_auth_gate.sh,require_schwab_auth_env,auth bootstrap,operator utility,Schwab auth env and token bootstrap,operator initiated,provider specific,n/a,intentional,Explicit Schwab auth helper remains by design and is no longer part of IBKR paper startup.
scripts/run_schwab_token_web.sh,require_schwab_auth_env,token refresh workflow,operator utility,Schwab token web flow,operator initiated,provider specific,n/a,intentional,Explicit Schwab auth/token workflow remains available as a legacy fallback path.
scripts/show_probationary_status.sh,require_schwab_auth_env,legacy runtime inspection,legacy probationary runtime,status snapshot,operator initiated,legacy,IBKR paper monitor artifacts,remaining,Still assumes Schwab-backed probationary flow and should be migrated or retired later.
scripts/show_probationary_paper_status.sh,require_schwab_auth_env,legacy runtime inspection,legacy probationary runtime,paper status snapshot,operator initiated,legacy,IBKR paper monitor artifacts,remaining,Still tied to the older Schwab-centered paper summary flow.
scripts/run_probationary_paper_summary.sh,require_schwab_auth_env,legacy summary generation,legacy probationary runtime,daily paper summary,operator initiated,legacy,IBKR governance and monitor reports,remaining,Still requires Schwab auth even though core IBKR paper runtime no longer does.
scripts/run_probationary_daily_summary.sh,require_schwab_auth_env,legacy summary generation,legacy probationary runtime,daily runtime summary,operator initiated,legacy,IBKR governance and dashboard reports,remaining,Legacy summary path remains Schwab-centric and is outside the critical IBKR paper startup path.
scripts/run_probationary_live_strategy_pilot.sh,require_schwab_auth_env,live pilot launcher,live pilot,pilot startup and account linkage,operator initiated,execution critical for Schwab pilot only,IBKR live pilot stack when approved,intentional,Still Schwab-specific because the legacy live pilot is not part of the IBKR paper runtime.
src/mgc_v05l/execution/live_strategy_broker.py,_ConfiguredLiveMarketDataProvider,quote fallback support,execution-adjacent quotes,latest quote snapshot / live quote subscription,sub-second to seconds,execution adjacent,Databento primary with explicit fallback controls,purged_to_optional,Fallback remains supported but is now explicit and disabled by default unless the config and environment both allow it.
src/mgc_v05l/market_data/schwab_provider.py,SchwabMarketDataProvider,legacy provider implementation,market data,historical and quote retrieval,research and runtime dependent,fallback only,Databento primary / local cache,intentional,Provider stays in-tree for fallback and parity work until later migration phases are complete.
scripts/backfill_schwab_1m_history.sh,require_schwab_auth_env,research backfill,historical data,1m bar backfill,batch,research only,Databento backfill pipeline,remaining,Research backfill scripts remain Schwab-specific until Databento parity and cache migration are complete.
